id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	gtin	mpn	item_group_id	color	size	material	shipping_label
M240802	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M240802	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	32.95 EUR	Coco & Cici	new	8721184401675	M240802	tencel-twill-pillowcase-beige		1 pillowcase 40x80	100% Tencel™ Lyocell	std_10
M2507022	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M2507022	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	29.95 EUR	Coco & Cici	new	6097748493472	M2507022	tencel-twill-pillowcase-beige		1 pillowcase 50x70 without valance	100% Tencel™ Lyocell	std_10
M2607022	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M2607022	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	29.95 EUR	Coco & Cici	new	6097748637616	M2607022	tencel-twill-pillowcase-beige		1 pillowcase 60x70 without valance	100% Tencel™ Lyocell	std_10
M280802	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M280802	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	37.95 EUR	Coco & Cici	new	8721184401743	M280802	tencel-twill-pillowcase-beige		1 pillowcase 80x80	100% Tencel™ Lyocell	std_10
M2507522	Taie d'oreiller en sergé Tencel™, beige	Complétez votre parure avec une touche de douceur assortie. Notre taie d'oreiller en sergé Tencel™ beige offre le même confort mat et durable que nos housses de couette : un luxe discret, un oreiller à la fois.	https://www.maisondecocon.com/fr/products/tencel-twill-pillowcase-beige?variant_sku=M2507522	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-styled-01.jpg?v=1785849569	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-01.jpg?v=1785849588,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-lifestyle-02.jpg?v=1785849597,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-texture-01.jpg?v=1785849607,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-pillowcase-beige-detail-01.jpg?v=1785849615	in_stock	36.95 EUR	Coco & Cici	new	8721184401767	M2507522	tencel-twill-pillowcase-beige		1 pillowcase 50x75 without Volant	100% Tencel™ Lyocell	std_10
4200200AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4200200AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	599.00 EUR	Coco & Cici	new	8721184406342	4200200AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4140200AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4140200AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	419.00 EUR	Coco & Cici	new	7423626999917	4140200AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4200220AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4200220AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	599.00 EUR	Coco & Cici	new	7423606679655	4200220AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4260240AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4260240AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	out_of_stock	819.00 EUR	Coco & Cici	new	8721184406359	4260240AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4140220AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4140220AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	419.00 EUR	Coco & Cici	new	7423607361337	4140220AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4260220AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4260220AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	749.00 EUR	Coco & Cici	new	7423607355329	4260220AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
4240220AS	Couette Tencel™ « Quatre Saisons »	Conçue pour toutes les saisons. Notre couette Tencel™ Four Seasons associe une couette d'été plus légère à une couette de printemps/automne, qui s'assemblent pour l'hiver : un seul système de couette, pour un confort tout au long de l'année.	https://www.maisondecocon.com/fr/products/tencel-four-seasons-duvet?variant_sku=4240220AS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-folded-elephant-01.png?v=1785850675	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-shake-01.jpg?v=1785850722,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-wrapped-01.png?v=1785850732,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-flat-ties-01.jpg?v=1785850743,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-detail-ties-01.jpg?v=1785850753,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-lifestyle-cuddled-01.png?v=1785850774,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-texture-01.jpg?v=1785850784,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-four-seasons-duvet-canvas-bag-01.jpg?v=1785850794	in_stock	679.00 EUR	Coco & Cici	new	7423607345337	4240220AS	tencel-four-seasons-duvet			100% Tencel™ Lyocell (shell and filling)	std_10
M12002002VS	Housse de couette en twill Tencel™ - Beige	Plongez dans une literie qui respire avec vous. Notre housse de couette en sergé Tencel™ de couleur beige apporte une élégance douce et mate à votre chambre à coucher : un luxe discret, sans brillance.	https://www.maisondecocon.com/fr/products/tencel-twill-duvet-cover-beige?variant_sku=M12002002VS	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-styled-01.jpg?v=1785853222	https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-lifestyle-01.png?v=1785853147,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-lifestyle-02.jpg?v=1785853161,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-lifestyle-03.jpg?v=1785853192,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-lifestyle-04.jpg?v=1785853203,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-lifestyle-05.png?v=1785853214,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-styled-02.jpg?v=1785853232,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-texture-01.jpg?v=1785853262,https://cdn.shopify.com/s/files/1/0884/0278/8685/files/tencel-twill-duvet-cover-beige-texture-02.jpg?v=1785853294	in_stock	179.95 EUR	Coco & Cici	new	8721184403815	M12002002VS	tencel-twill-duvet-cover-beige		200x200 + 2 pillowcases 60x70	100% Tencel™ Lyocell, Twill weave	std_10
