sku,value,handle,vendor,reason
8888886020060,8888886020060,2-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
8888888024060,8888888024060,2-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
8888884020060,8888884020060,2-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
88888820026060,88888820026060,2-person-bamboo-bedding-set-lavender-mist-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
2222218024060,2222218024060,2-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
2222216020060,2222216020060,2-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
2222220026060,2222220026060,2-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
2222214020060,2222214020060,2-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
1111118024060,1111118024060,2-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
1111116020060,1111116020060,2-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
1111120026060,1111120026060,2-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
1111114020060,1111114020060,2-person-bamboo-bedding-set-soft-taupe-400tc,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
5555518024060,5555518024060,white-bamboo-bedding-set-2-person-400tc-tanboocel-coco-white,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
5555516020060,5555516020060,white-bamboo-bedding-set-2-person-400tc-tanboocel-coco-white,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
5555520026060,5555520026060,white-bamboo-bedding-set-2-person-400tc-tanboocel-coco-white,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
5555514020060,5555514020060,white-bamboo-bedding-set-2-person-400tc-tanboocel-coco-white,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
3333338014050,3333338014050,light-green-bamboo-bedding-set-1-person-400tc-tanboocel-sage-green,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
3333339014050,3333339014050,light-green-bamboo-bedding-set-1-person-400tc-tanboocel-sage-green,Boomba Bamboo,SKU is placeholder pattern (matches sibling variants that fail checksum) -- treat as no real GTIN even where checksum coincidentally passes
7777776020060,7777776020060,2-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,"SKU coincidentally passes GS1 checksum but matches the same repeated-digit placeholder pattern as sibling variants on this product that fail checksum -- treated as no real GTIN, same rule as the other 2 caught earlier"
2222228014050,2222228014050,1-person-bamboo-bedding-set-space-blue-400tc,Boomba Bamboo,"SKU coincidentally passes GS1 checksum but matches the same repeated-digit placeholder pattern as sibling variants on this product that fail checksum -- treated as no real GTIN, same rule as the other 2 caught earlier"
7777778014050,7777778014050,1-person-bamboo-bedding-set-deep-moss-400tc,Boomba Bamboo,"SKU coincidentally passes GS1 checksum but matches the same repeated-digit placeholder pattern as sibling variants on this product that fail checksum -- treated as no real GTIN, same rule as the other 2 caught earlier"
4444420026060,4444420026060,2-person-bamboo-bedding-set-cuddle-pink-400tc,Boomba Bamboo,"SKU coincidentally passes GS1 checksum but matches the same repeated-digit placeholder pattern as sibling variants on this product that fail checksum -- treated as no real GTIN, same rule as the other 2 caught earlier"
3333318024060,3333318024060,2-person-bamboo-bedding-set-sage-green-400tc,Boomba Bamboo,"SKU coincidentally passes GS1 checksum but matches the same repeated-digit placeholder pattern as sibling variants on this product that fail checksum -- treated as no real GTIN, same rule as the other 2 caught earlier"
